id,comment,author,likes,timestamp,is_reply,parent_id
35,"enak punya bapak kaya Raditya Dika 
Kalau gue jadi anaknya bakal ngajak jadi Naruto dkk😂",@komangsriani-t3o7o,0,2025-03-09T11:25:00Z,False,
36,gua doain semua yg disini bakal jadi orang sukses semua dan apa yg dicita”kan bisa lekas kecapai semua😇,@hananjlnt8918,3,2025-03-04T17:54:05Z,False,
37,"aku suka cerita kuping itu, please jadiin buku",@windiantika8422,0,2025-02-28T09:02:14Z,False,
38,"Chelsea sumpah ""OK OK OK"" nya ganggu banget. Jadi host tu jangan gatel buat nyautin narasumber. Sesuai porsi pertanyaan lu aja. Kita yang nonton karena dengerin narasumbernya malah jadi kegangggu karena lu nyautin oke oke mulu. Belajar lagi cara jadi host yang baik gak cuma ngandelin isi pertanyaan",@ysyysy3607,0,2025-02-20T07:51:45Z,False,
39,Ok ok ok ok kebanyakan oknya,@alteccellular7517,0,2025-02-14T15:20:24Z,False,
40,mantap banh,@anak_kenik,1,2025-02-12T08:39:30Z,False,
41,damnn mulus bening banget chelsea,@kirimajabreekirimajabree,0,2025-02-11T06:20:52Z,False,
42,bang radit sangat berwawasan luas,@TaufikTutorial2744,0,2025-02-09T02:55:24Z,False,
43,Isinya daging bgt❤,@your_chingu01,1,2025-01-30T12:33:43Z,False,
44,100jt ÷ 4℅ = (x25),@your_chingu01,1,2025-01-30T12:26:41Z,False,
45,"i really appreciate agatha and all of her team. The question it self sooo aim the core of it point😊 

And also her attitude… i give 100 for you.",@keziasopisupu,4,2025-01-27T06:46:39Z,False,
46,thanks sudah menggali sisi lain dari bg radit,@mahirtutorial680,0,2025-01-21T13:01:39Z,False,
47,yang  jelas semua technology  akan berinovasi mind set kita harus siap dengan perubahannya kedepan apakah techno itu memberi efisiensi dan manfaat buat kita....unk kesejahtraan ...dll bs nangkap peluang itu bs sukses jg kita ..,@balihaiproperty,0,2025-01-18T03:48:44Z,False,
48,video ini ngubah cara berfikir gw. thanks radit.,@herdodp7145,0,2025-01-18T01:07:44Z,False,
49,"Raditya Dika adalah sosok yg kalau makan kacang isinya dibuang kulit nya di makan

Quote by Marmut merah jambu",@KampungMajesticLife,1,2025-01-11T07:20:19Z,False,
50,DAGING SEMUA INI ISI PODCAST NYA. AKU BISA BENER BENER LANGSUNG PLANING GIMANA FINANSIAL KEDEPANNYA. DAN UNTUK PEMBAHASAN JADI ORANG TUA JUJURLY AKU UDAH NGERASAIN DAN NGERTI BANGET YG DIBILANG SAMA  BG RADIT. THANKS PODCAST INI SANGAT MENGINSPIRASI LUVV 💕💕💕💕💕,@fauziahsilmi3652,4,2025-01-09T19:45:31Z,False,
